ID,Song,Artist,Year,Weeks_in_Charts,Rank,YouTube_Link,ViewCount,Genre
0102,Baby; I Love Your Way/Freebird Medley,Will To Power,1988,24,1,https://www.youtube.com/watch?v=79r_XaUU7yE,54000000.0,Pop
0103,Black Velvet,Alannah Myles,1990,24,1,https://www.youtube.com/watch?v=tT4d1LQy4es,182000000.0,Pop
0104,Everybody Wants To Rule The World,Tears For Fears,1985,24,1,https://www.youtube.com/watch?v=aGCdLKXNF3w,585000000.0,Rock
0105,Freak Me,Silk,1993,24,1,https://www.youtube.com/watch?v=Ry6XUsow4Vg,62000000.0,R&B
0106,Hard To Say I'm Sorry,Chicago,1982,24,1,https://www.youtube.com/watch?v=1A0MPWseJIE,180000000.0,Rock
0107,Hello,Lionel Richie,1984,24,1,https://www.youtube.com/watch?v=mHONNcZbwDY,134000000.0,R&B
0108,How Do U Want It/California Love,2Pac Featuring K-Ci And JoJo,1996,24,1,https://www.youtube.com/watch?v=N0VdRLdg2ng,63000000.0,Hip-Hop
0109,How Will I Know,Whitney Houston,1985,24,1,https://www.youtube.com/watch?v=m3-hY-hlhBg,174000000.0,R&B
0110,I Think We're Alone Now,Tiffany,1987,24,1,https://www.youtube.com/watch?v=w6Q3mHyzn78,153000000.0,Pop
0111,Missing You,John Waite,1984,24,1,https://www.youtube.com/watch?v=k9e157Ner90,113000000.0,Rock
0112,More Than Words,Extreme,1991,24,1,https://www.youtube.com/watch?v=UrIiLvg58SY,880000000.0,Rock
0113,My Prerogative,Bobby Brown,1988,24,1,https://www.youtube.com/watch?v=5cDLZqe735k,75000000.0,R&B
0114,Never Gonna Give You Up,Rick Astley,1987,24,1,https://www.youtube.com/watch?v=dQw4w9WgXcQ,1790000000.0,Pop
0115,Sweet Child O' Mine,Guns N' Roses,1988,24,1,https://www.youtube.com/watch?v=1w7OgIMMRc4,1966000000.0,Rock
0116,To Be With You,Mr. Big,1991,24,1,https://www.youtube.com/watch?v=L6-uJLteKek,145000000.0,Rock
0117,Vogue,Madonna,1990,24,1,https://www.youtube.com/watch?v=GuJQSAiODqI,179000000.0,Pop
0118,Wake Me Up Before You Go-Go,Wham!,1984,24,1,https://www.youtube.com/watch?v=pIgZ7gMze7A,574000000.0,Pop
0119,We Built This City,Starship,1985,24,1,https://www.youtube.com/watch?v=K1b8AhIsSYQ,141000000.0,Rock
0120,Woman In Love,Barbra Streisand,1980,24,1,https://www.youtube.com/watch?v=tskm5LWYmIM,54000000.0,Pop
0121,You Give Love A Bad Name,Bon Jovi,1986,24,1,https://www.youtube.com/watch?v=KrZHPOeOxQQ,450000000.0,Rock
0122,All The Man That I Need,Whitney Houston,1990,23,1,https://www.youtube.com/watch?v=3WH1Ma50QUk,105000000.0,R&B
0123,Because I Love You (The Postman Song),Stevie B,1990,23,1,https://www.youtube.com/watch?v=Xc1uQI2XmZs,55000000.0,Pop
0124,Everytime You Go Away,Paul Young,1985,23,1,https://www.youtube.com/watch?v=nfk6sCzRTbM,296000000.0,R&B
0125,Footloose,Kenny Loggins,1984,23,1,https://www.youtube.com/watch?v=ltrMfT4Qz5Y,179000000.0,Pop
0126,Funkytown,Lipps| Inc.,1980,23,1,https://www.youtube.com/watch?v=Z6dqIYKIBSU,89000000.0,Pop
0127,Holding Back The Years,Simply Red,1986,23,1,https://www.youtube.com/watch?v=yG07WSu7Q9w,269000000.0,R&B
0128,How Am I Supposed To Live Without You,Michael Bolton,1989,23,1,https://www.youtube.com/watch?v=YFood_bTOX4,256000000.0,Pop
0129,Love Bites,Def Leppard,1988,23,1,https://www.youtube.com/watch?v=W4XiSFyYRE8,124000000.0,Rock
0130,Maneater,Daryl Hall  John Oates,1982,23,1,https://www.youtube.com/watch?v=yRYFKcMa_Ek,396000000.0,R&B
0131,Nice & Slow,Usher,1998,23,1,https://www.youtube.com/watch?v=DIpQ4AZSAf8,110000000.0,R&B
0132,On My Own,Patti LaBelle & Michael McDonald,1986,23,1,https://www.youtube.com/watch?v=KsH63qJlIMM,135000000.0,R&B
0133,Out Of Touch,Daryl Hall  John Oates,1984,23,1,https://www.youtube.com/watch?v=DCkJ5lGPqFs,101000000.0,R&B
0134,Owner Of A Lonely Heart,Yes,1983,23,1,https://www.youtube.com/watch?v=SVOuYquXuuc,70000000.0,Rock
0135,She Drives Me Crazy,Fine Young Cannibals,1989,23,1,https://www.youtube.com/watch?v=UtvmTu4zAMg,96000000.0,Pop
0136,That's What Friends Are For,Dionne & Friends Featuring Elton John| Gladys Knight And Stevie Wonder,1985,23,1,https://www.youtube.com/watch?v=HyTpu6BmE88,330000000.0,R&B
0137,Walk Like An Egyptian,The Bangles,1986,23,1,https://www.youtube.com/watch?v=Cv6tuzHUuuk,190000000.0,Rock
0138,Wannabe,Spice Girls,1997,23,1,https://www.youtube.com/watch?v=gJLIiF15wjQ,718000000.0,Pop
0139,When Doves Cry,Prince,1984,23,1,https://www.youtube.com/watch?v=UG3VcCAlUgE,139000000.0,Rock
0140,(Everything I Do) I Do It For You,Bryan Adams,1991,22,1,https://www.youtube.com/watch?v=Y0pdQU87dc8,1034000000.0,Rock
0141,Addicted To Love,Robert Palmer,1986,22,1,https://www.youtube.com/watch?v=XcATvu5f9vE,153000000.0,Pop
0142,All For Love,Bryan Adams/Rod Stewart/Sting,1993,22,1,https://www.youtube.com/watch?v=ofA3URC1wyk,176000000.0,Rock
0143,Broken Wings,Mr. Mister,1985,22,1,https://www.youtube.com/watch?v=nKhN1t_7PEY,252000000.0,Pop
0144,Careless Whisper,Wham! Featuring George Michael,1984,22,1,https://www.youtube.com/watch?v=izGwDsrQ1eQ,1572000000.0,Pop
0145,Don't You (Forget About Me),Simple Minds,1985,22,1,https://www.youtube.com/watch?v=CdqoNKCCt7A,428000000.0,Rock
