Song_Name,Artists,YouTube_Link,ViewCount
Yonderer,Cj Hooper,,Error
Don't Start Now,Dua Lipa,,Error
Viva La Vida,Coldplay,,Error
Die For You,The Weeknd,,Error
Lucid Dreams,Juice WRLD,,Error
Circles,Post Malone,,Error
goosebumps,Travis Scott,,Error
Just the Way You Are,Bruno Mars,,Error
Talking Is Tragic,Nick Broadhurst,,Error
Love Yourself,Justin Bieber,,Error
Thinking out Loud,Ed Sheeran,,Error
Shallow,"Lady Gaga, Bradley Cooper",,Error
LDN calling CDMX,"Steinsdotter, Lovec Mx",,Error
God's Plan,Drake,,Error
Wake Me Up - Radio Edit,Avicii,,Error
All of Me,John Legend,,Error
Locked out of Heaven,Bruno Mars,,Error
Rock Show,Breakfast For Joey,,Error
Thunder,Imagine Dragons,,Error
When I Was Your Man,Bruno Mars,,Error
Demons,Imagine Dragons,,Error
Iris,The Goo Goo Dolls,,Error
That's What I Like,Bruno Mars,,Error
The Hills,The Weeknd,,Error
Without Me,Eminem,,Error
bad guy,Billie Eilish,,Error
Rodeo,"Cwby, Yeya",,Error
Stressed Out,Twenty One Pilots,,Error
HUMBLE.,Kendrick Lamar,,Error
Do I Wanna Know?,Arctic Monkeys,,Error
Wire,"Laime, Liya, Savage",,Error
No Role Modelz,J. Cole,,Error
Lose Yourself,Eminem,,Error
Let Me Love You,"DJ Snake, Justin Bieber",,Error
Flowers,Miley Cyrus,,Error
Let Her Go,Passenger,,Error
Unforgettable,"French Montana, Swae Lee",,Error
"All The Stars (with SZA) - From ""Black Panther: The Album""","Kendrick Lamar, SZA",,Error
See You Again (feat. Kali Uchis),"Tyler, The Creator, Kali Uchis",,Error
Treat You Better,Shawn Mendes,,Error
drivers license,Olivia Rodrigo,,Error
7 rings,Ariana Grande,,Error
Kill Bill,SZA,,Error
Seven (feat. Latto) (Explicit Ver.),"Jung Kook, Latto",,Error
6 foot with my boots on,Cwby,,Error
Sorry,Justin Bieber,,Error
Espresso,Sabrina Carpenter,,Error
The Scientist,Coldplay,,Error
There's Nothing Holdin' Me Back,Shawn Mendes,,Error
One Kiss (with Dua Lipa),"Calvin Harris, Dua Lipa",,Error
Beautiful Things,Benson Boone,,Error
Under Bare Wires,Luke Callahan,,Error
Ik Vaari Aa,"Pritam, Arijit Singh, Amitabh Bhattacharya",,Error
Nashe Si Chadh Gayi,"Arijit Singh, Caralisa Monteiro",,Error
Sooraj Dooba Hain,"Amaal Mallik, Arijit Singh, Aditi Singh Sharma, Kumaar",,Error
Samjhawan,"Jawad Ahmad, Shaarib Toshi, Arijit Singh, Shreya Ghoshal",,Error
Raabta,"Pritam, Arijit Singh",,Error
Tu Meri,"Vishal-Shekhar, Vishal Dadlani",,Error
Tere Sang Yaara,"Atif Aslam, Manoj Muntashir",,Error
Saans,"A.R. Rahman, Shreya Ghoshal, Mohit Chauhan, Gulzar",,Error
"Galliyan (From ""Ek Villain"")",Ankit Tiwari,,Error
"Tum Hi Ho (From ""Aashiqui 2"")",Arijit Singh,,Error
Chahun Main Ya Naa,"Palak Muchhal, Arijit Singh",,Error
Sunn Raha Hai (Male Version),Ankit Tiwari,,Error
Kabhi Jo Badal Barse,Arijit Singh,,Error
Muskurane - Romantic,"Jeet Gannguli, Arijit Singh, Rashmi Virag",,Error
"Kaun Tujhe (From ""M.S.Dhoni - The Untold Story"")",Palak Muchhal,,Error
Bahara,"Vishal-Shekhar, Shreya Ghoshal, Sona Mohapatra",,Error
Gulabi,"Sachin-Jigar, Jigar Saraiya, Priya Saraiya, Jaideep Sahni",,Error
Manwa Laage,"Vishal-Shekhar, Shreya Ghoshal, Arijit Singh, Irshad Kamil",,Error
Radha,"Vishal-Shekhar, Shreya Ghoshal, Udit Narayan, Vishal Dadlani, Shekhar Ravjiani",,Error
Balam Pichkari,"Pritam, Vishal Dadlani, Shalmali Kholgade",,Error
Titli,"Vishal-Shekhar, Chinmayi, Gopi Sundar",,Error
Kashmir Main Tu Kanyakumari,"Vishal-Shekhar, Sunidhi Chauhan, Arijit Singh, Neeti Mohan",,Error
Chittiyaan Kalaiyaan,"Meet Bros Anjjan, Kanika Kapoor, Kumaar",,Error
"Pani Da Rang Male (From ""Vicky Donor"")",Ayushmann Khurrana,,Error
Saadi Galli Aaja,"Rochak Kohli, Ayushmann Khurrana, Neeti Mohan",,Error
Subhanallah,"Pritam, Sreeram, Shilpa Rao",,Error
Meherbaan,"Shilpa Rao, Ash King, Shekhar Ravjiani",,Error
Nagada Sang Dhol,"Sanjay Leela Bhansali, Shreya Ghoshal, Osman Mir, Siddharth - Garima",,Error
"Daaru Desi (From ""Cocktail"")","Benny Dayal, Shalmali Kholgade, Pritam",,Error
"Tum Hi Ho Bandhu (From ""Cocktail"")","Neeraj Shridhar, Kavita Seth, Pritam",,Error
Long Drive,Mika Singh,,Error
Teri Ore,"Pritam, Rahat Fateh Ali Khan, Shreya Ghoshal, Mayur Puri",,Error
Jeena Jeena,"Sachin-Jigar, Atif Aslam, Priya Saraiya",,Error
"Jeene Laga Hoon (From ""Ramaiya Vastavaiya"")","Atif Aslam, Shreya Ghoshal",,Error
Main Rang Sharbaton Ka,"Atif Aslam, Chinmayi Sripaada, Pritam",,Error
Jee Le Zaraa,"Vishal Dadlani, Ram Sampath, Javed Akhtar",,Error
Jiya Re,"A.R. Rahman, Neeti Mohan, Gulzar",,Error
Phir Bhi Tumko Chaahunga,"Mithoon, Manoj Muntashir, Arijit Singh, Shashaa Tirupati",,Error
Saree Ke Fall Sa,"Nakash Aziz, Antara Mitra",,Error
"Tere Liye (From ""Prince"")","Atif Aslam, Shreya Ghoshal",,Error
"Tera Hone Laga Hoon (From ""Ajab Prem Ki Ghazab Kahani"")","Atif Aslam, Alisha Chinai",,Error
Tu Jaane Na,"Pritam, Atif Aslam",,Error
Mast Magan,"Arijit Singh, Chinmayi",,Error
Ae Dil Hai Mushkil Title Track,"Pritam, Arijit Singh",,Error
"Gerua (From ""Dilwale"")","Pritam, Arijit Singh, Antara Mitra",,Error
Prem Ratan Dhan Payo,Palak Muchhal,,Error
"Raat Bhar (From ""Heropanti"")","Arijit Singh, Shreya Ghoshal",,Error
Pareshaan,"Amit Trivedi, Shalmali Kholgade, Kausar Munir",,Error
Jhalla Wallah,"Amit Trivedi, Shreya Ghoshal, Kausar Munir",,Error
Uff Teri Adaa,"Shankar Mahadevan, Alyssa Mendonsa",,Error
Te Amo (Duet),"Pritam, Ash King, Sunidhi Chauhan",,Error
Senorita,"Farhan Akhtar, Hrithik Roshan, Abhay Deol, Maria Del Mar Fernandez",,Error
Yaar Naa Miley,"Yo Yo Honey Singh, Jasmine Sandlas",,Error
Main Tera Boyfriend,"Arijit Singh, Neha Kakkar, Meet Bros., Sourav Roy, Sohrabuddin, Kumaar, Jitendra Raghuvanshi",,Error
The Breakup Song,"Pritam, Arijit Singh, Badshah, Jonita Gandhi, Nakash Aziz",,Error
Tune Maari Entriyaan,"Sohail Sen, Vishal Dadlani, KK, Neeti Mohan, Bappi Lahiri, Irshad Kamil",,Error
Badtameez Dil,"Pritam, Benny Dayal, Shefali Alvares",,Error
Character Dheela,"Pritam, Neeraj Shridhar, Amrita Kak",,Error
Chikni Chameli,"Ajay-Atul, Shreya Ghoshal",,Error
Sheila Ki Jawani,"Vishal-Shekhar, Sunidhi Chauhan, Vishal Dadlani",,Error
"Lat Lag Gayee (From ""Race 2"")","Benny Dayal, Shalmali Kholgade",,Error
"Party On My Mind (From ""Race 2"")","KK, Shefali Alvares, Yo Yo Honey Singh, Pritam",,Error
Abhi Toh Party Shuru Hui Hai,"Badshah, Aastha Gill",,Error
Subha Hone Na De,"Pritam, Mika Singh, Shefali Alvares",,Error
Saturday Saturday,"Shaarib Toshi, Badshah, Indeep Bakshi, Akriti Kakar",,Error
"Baby Doll (From ""Ragini Mms 2"")","Meet Bros Anjjan, Kanika Kapoor",,Error
"London Thumakda (From ""Queen"")","Labh Janjua, Sonu Kakkar, Neha Kakkar",,Error
Sadi Gali,"Lehmber Hussainpuri, Raj Shekhar",,Error
Chammak Challo (Muthada Chammak Challo),"Vishal-Shekhar, Akon, Vishal Dadlani, Hamsika Iyer, Vairamuthu",,Error
Jumme Ki Raat,"Mika Singh, Palak Muchhal, Himesh Reshammiya, Kumaar, Shabbir Ahmed",,Error
Hookah Bar,"Himesh Reshammiya, Vineet Singh, Aaman Trikha",,Error
Kala Chashma,"Prem & Hardeep, Amar Arshi, Badshah, Neha Kakkar, Indeep Bakshi, Amrik Singh",,Error
"Sunny Sunny (From ""Yaariyan"")","Yo Yo Honey Singh, Neha Kakkar",,Error
Dilliwaali Girlfriend,"Arijit Singh, Sunidhi Chauhan",,Error
"High Rated Gabru (From ""Nawabzaade"")",Guru Randhawa,,Error
"Ghungroo (From ""War"")","Vishal-Shekhar, Arijit Singh, Shilpa Rao, Kumaar",,Error
"Malang (Title Track) [From ""Malang - Unleash The Madness""]","Ved Sharma, Kunaal Vermaa",,Error
Sajdaa,"Shankar-Ehsaan-Loy, Rahat Fateh Ali Khan, Shankar Mahadevan, Richa Sharma",,Error
Chammak Challo,"Vishal-Shekhar, Akon, Hamsika Iyer, Vishal Dadlani, Niranjan Iyengar",,Error
Love You Zindagi,"Amit Trivedi, Jasleen Royal, Kausar Munir",,Error
Teri Meri,"Rahat Fateh Ali Khan, Shreya Ghoshal",,Error
Ishq Sufiyana (Male),"Vishal-Shekhar, Kamal Khan",,Error
Ambarsariya,"Sona Mohapatra, Ram Sampath, Munna Dhiman",,Error
